Date,SPTR Index,FNERTR Index,RU10INTR Index,SPGSCITR Index,GDDUEAFE Index,LBUSTRUU Index,LF98TRUU Index,GDLEEGF Index
1/4/1999,1668.521,2526.2561,2522.621,1992.325,3312.732,840.31,536.88,16353
1/5/1999,1691.253,2535.7539,2553.651,1975.145,3334.567,838.85,537.14,16412.156
1/6/1999,1729.083,2539.5659,2608.138,2033.986,3383.917,840.25,537.63,16785.383
1/7/1999,1725.64,2522.428,2605.67,2038.249,3363.649,838.69,537.99,17000.391
1/8/1999,1732.925,2523.1851,2616.827,2045.915,3343.808,836.07,538.79,16941.01
1/11/1999,1717.69,2515.23,2598.226,2067.354,3316.405,835.25,539.12,16792.949
1/12/1999,1684.57,2506.2949,2549.888,2033.1949,3269.469,837.53,539.6,16458.416
1/13/1999,1677.729,2500.499,2537.667,1982.603,3191.059,840.25,539.36,15844.567
1/14/1999,1647.566,2485.9609,2493.123,1972.562,3205.42,843.88,539.48,15651.924
1/15/1999,1689.818,2493.105,2552.897,1968.092,3220.312,842.01,539.3,16243.029
1/19/1999,1701.711,2503.9651,2571.833,1947.208,3272.576,841.81,539.92,16543.021
1/20/1999,1708.087,2495.7639,2579.083,1930.9189,3300.421,840.69,539.96,16827.951
1/21/1999,1678.925,2489.5669,2533.25,1963.145,3285.694,842.68,540.54,16649.828
1/22/1999,1665.387,2485.572,2513.814,1972.2939,3208.189,844.83,540.58,16319.61
1/25/1999,1677.342,2489.3369,2531.117,1946.725,3211.893,844.47,541.35,16187.285
1/26/1999,1702.265,2482.677,2567.353,1928.2469,3223.132,844.02,541.44,16425.756
1/27/1999,1690.076,2469.1279,2547.419,1943.183,3217.526,844.46,542.62,16743.605
1/28/1999,1720.437,2450.2051,2590.867,1960.785,3217.517,845.29,543.25,16849.01
1/29/1999,1739.839,2439.4729,2617.526,1974.228,3234.571,846.66,544.43,16949.905
2/1/1999,1730.811,2443.2981,2605.748,1948.959,3259.691,843.6,544.05,17128.551
2/2/1999,1715.912,2452.229,2583.724,1955.319,3266.39,841.85,543.82,16961.895
2/3/1999,1729.841,2452.7141,2606.67,1955.808,3228.292,840.98,543.51,16933.371
2/4/1999,1697.909,2454.4719,2558.198,1944.3361,3215.595,838.75,543.48,16846.094
2/5/1999,1685.583,2441.4651,2536.535,1936.892,3194.635,837.83,545,16767.707
2/8/1999,1691.797,2437.9519,2544.26,1931.899,3169.687,838.48,545.53,16914.832
2/9/1999,1654.237,2435.4409,2488.685,1921.417,3124.016,839.62,545.78,16731.061
2/10/1999,1664.64,2409.5911,2501.002,1916.915,3105.993,839.6,545.55,16796.68
2/11/1999,1706.254,2397.593,2563.31,1912.739,3136.565,839.26,545.76,17015.996
2/12/1999,1673.772,2374.623,2515.882,1909.577,3160.789,835.05,545.14,17190.453
2/16/1999,1689.755,2373.886,2537.002,1869.314,3150.458,836.84,545.53,17247.395
2/17/1999,1665.678,2365.114,2503.323,1873.701,3133.14,838.59,545.48,17173.455
2/18/1999,1683.838,2375.386,2529.832,1901.4919,3129.504,837.03,544.98,17103.865
